"","YEAR","port_per_trip","region","nation","reserve","fished","total_effort","displacement","dataset"
"90",2014,"PORTO TOLLE",NA,NA,0,53.9833333333333,53.9833333333333,0,"AIS_2014"
"91",2014,"PRAPRATNO",NA,"HRV",0,24.0833333333333,24.0833333333333,0,"AIS_2014"
"92",2014,"PRIMOSTEN",NA,"HRV",470.7,4445.8,4916.5,9.574,"AIS_2014"
"93",2014,"PRIMOSTEN",NA,NA,19.5166666666667,1067.18333333333,1086.7,1.796,"AIS_2014"
"94",2014,"PULA",NA,"HRV",0,267.866666666667,267.866666666667,0,"AIS_2014"
"95",2014,"PULA",NA,NA,0,643.95,643.95,0,"AIS_2014"
"96",2014,"RABAC",NA,NA,0,7.31666666666667,7.31666666666667,0,"AIS_2014"
"97",2014,"RAVENNA","emilia","ITA",0,166.333333333333,166.333333333333,0,"AIS_2014"
"98",2014,"RAVENNA",NA,NA,25.2,159.466666666667,184.666666666667,13.646,"AIS_2014"
"99",2014,"RIJEKA",NA,"HRV",2.13333333333333,234.916666666667,237.05,0.9,"AIS_2014"
"100",2014,"RIJEKA",NA,NA,0,36.8833333333333,36.8833333333333,0,"AIS_2014"
"101",2014,"RIMINI","emilia","ITA",0,5758.15,5758.15,0,"AIS_2014"
"102",2014,"RIMINI",NA,NA,0,2399.98333333333,2399.98333333333,0,"AIS_2014"
"103",2014,"ROGOZNICA",NA,"HRV",16.6333333333333,1293.63333333333,1310.26666666667,1.269,"AIS_2014"
"104",2014,"ROGOZNICA",NA,NA,19.2333333333333,1001.96666666667,1021.2,1.883,"AIS_2014"
"105",2014,"ROVINJ",NA,"HRV",0,260.65,260.65,0,"AIS_2014"
"106",2014,"ROVINJ",NA,NA,0,2.73333333333333,2.73333333333333,0,"AIS_2014"
"107",2014,"SAN BENEDETTO DEL TRONTO","marche","ITA",853.35,4561.65,5415,15.759,"AIS_2014"
"108",2014,"SAN BENEDETTO DEL TRONTO",NA,NA,137.85,1148.26666666667,1286.11666666667,10.718,"AIS_2014"
"109",2014,"SANTA MARINA",NA,"HRV",0,1393.98333333333,1393.98333333333,0,"AIS_2014"
"110",2014,"SANTA MARINA",NA,NA,0,24.2333333333333,24.2333333333333,0,"AIS_2014"
"111",2014,"SCARDOVARI","veneto","ITA",0,327.016666666667,327.016666666667,0,"AIS_2014"
"112",2014,"SCARDOVARI",NA,NA,0,228.133333333333,228.133333333333,0,"AIS_2014"
"113",2014,"SENIGALLIA","marche","ITA",0,456.85,456.85,0,"AIS_2014"
"114",2014,"SENIGALLIA",NA,NA,0,19.9166666666667,19.9166666666667,0,"AIS_2014"
"115",2014,"SIBENIK",NA,"HRV",85.1666666666667,913.55,998.716666666667,8.528,"AIS_2014"
"116",2014,"SIBENIK",NA,NA,1.2,169.45,170.65,0.703,"AIS_2014"
"117",2014,"SOLIN",NA,"HRV",13.9833333333333,700.733333333333,714.716666666667,1.956,"AIS_2014"
"118",2014,"SOLIN",NA,NA,0.65,381.333333333333,381.983333333333,0.17,"AIS_2014"
"119",2014,"SPLIT",NA,"HRV",13.6833333333333,136.25,149.933333333333,9.126,"AIS_2014"
"120",2014,"SPLIT",NA,NA,0,10.6333333333333,10.6333333333333,0,"AIS_2014"
"121",2014,"TERMOLI","molise","ITA",85.3166666666667,21771.2,21856.5166666667,0.39,"AIS_2014"
"122",2014,"TERMOLI",NA,NA,0.366666666666667,5104.06666666667,5104.43333333333,0.007,"AIS_2014"
"123",2014,"TRANI","puglia","ITA",0,108.266666666667,108.266666666667,0,"AIS_2014"
"124",2014,"TRANI",NA,NA,0,9.65,9.65,0,"AIS_2014"
"125",2014,"TRIBUNJ",NA,"HRV",397.216666666667,3821.85,4219.06666666667,9.415,"AIS_2014"
"126",2014,"TRIBUNJ",NA,NA,13.9333333333333,731.916666666667,745.85,1.868,"AIS_2014"
"127",2014,"TRIESTE","friuli","ITA",0,595.583333333333,595.583333333333,0,"AIS_2014"
"128",2014,"TROGIR",NA,"HRV",0,2.78333333333333,2.78333333333333,0,"AIS_2014"
"129",2014,"TROGIR",NA,NA,0,611.45,611.45,0,"AIS_2014"
"130",2014,"UMAG",NA,"HRV",0,406.15,406.15,0,"AIS_2014"
"131",2014,"UVALA KUJE",NA,"HRV",0,259.95,259.95,0,"AIS_2014"
"132",2014,"UVALA KUJE",NA,NA,0,167.5,167.5,0,"AIS_2014"
"133",2014,"VASTO","abruzzo","ITA",211.35,6096.55,6307.9,3.351,"AIS_2014"
"134",2014,"VASTO",NA,NA,64.4333333333333,1158.25,1222.68333333333,5.27,"AIS_2014"
"135",2014,"VELA LUKA",NA,"HRV",3.91666666666667,1741.51666666667,1745.43333333333,0.224,"AIS_2014"
"136",2014,"VELA LUKA",NA,NA,0,205.166666666667,205.166666666667,0,"AIS_2014"
"137",2014,"VENEZIA","veneto","ITA",0,7.5,7.5,0,"AIS_2014"
"138",2014,"VENEZIA",NA,NA,0,8.63333333333333,8.63333333333333,0,"AIS_2014"
"139",2014,"VIESTE","puglia","ITA",0,8063.08333333333,8063.08333333333,0,"AIS_2014"
"140",2014,"VIESTE",NA,NA,0,3107.25,3107.25,0,"AIS_2014"
"141",2014,"VIS",NA,"HRV",21.55,2674.43333333333,2695.98333333333,0.799,"AIS_2014"
"142",2014,"VIS",NA,NA,7.81666666666667,558.4,566.216666666667,1.381,"AIS_2014"
"143",2014,"VOLME",NA,"HRV",0,76.9333333333333,76.9333333333333,0,"AIS_2014"
"144",2014,"VRSAR",NA,"HRV",0,724.466666666667,724.466666666667,0,"AIS_2014"
"145",2014,"VRSAR",NA,NA,0,178.916666666667,178.916666666667,0,"AIS_2014"
